,title,company,salary,description
39,Hôte d'Accueil Événementiel (H/F),Cityone - Events,,Maîtriser plusieurs langues est toujours un plus !
40,Distributeur de prospectus,Le Groupe La Poste,,"Vous aussi, engagez-vous à nos côtés pour donner du sens à votre métier.
Nous avons plus de 250 plateformes logistiques partout en France."
41,STUDENT MARKETEER RENNES (m/w/d),Red Bull,,"En affinité avec le monde de Red Bull, tu es à la recherche d'un job étudiant de 9 mois minimum.
Nos Red Bull Student Marketeers font partie du programme d…"
42,Femme/Homme de Ménage CDD 7h weekend,Laverie Edgar,,Nettoyage et désinfection des comptoirs et machines.
43,Vendeur en boulangerie à temps partiel H/F - Réf : VP835CS,Boulangerie AUGUSTIN,"De 11,07 € à 15,00 € de l’heure","*CDI,* Temps Partiel (*8H semaine*).
Permis B serait un plus.
Vous appréciez les *échanges* avec les clients, la *communication *est ton principal atout."
44,EMPLOIS ETUDIANT A L'ANNEE H/F,Ambitio Emploi,"11,07 € de l’heure","Le week-end (samedi toute la journée et dimanche matin) en période scolaire.
En semaine et le week-end pendant les vacances scolaires."
45,Vendeur en boulangerie à temps partiel H/F - Réf : VP835CS,Boulangerie AUGUSTIN,"De 11,07 € à 15,00 € de l’heure","*CDI,* Temps Partiel (*8H semaine*).
Permis B serait un plus.
Vous appréciez les *échanges* avec les clients, la *communication *est ton principal atout."
46,EMPLOIS ETUDIANT A L'ANNEE H/F,Ambitio Emploi,"11,07 € de l’heure","Le week-end (samedi toute la journée et dimanche matin) en période scolaire.
En semaine et le week-end pendant les vacances scolaires."
47,Serveur H/F,RESTAURANT LA BOUCHERIE,"À partir de 11,30 € de l’heure","Vous favorisez l'accueil et l'ambiance ""La Boucherie"" pour un service irréprochable,.
Veillez au confort et à la satisfaction du client."
48,Agent d'entretien H/F,Epicerie de Joseph,"11,07 € de l’heure",Type d'emploi : Temps partiel.
49,Temps partiel dimanche - Chauffeur livreur,CHRONOPOST,"À partir de 11,07 € de l’heure","Chronopost recherche un chauffeur livreur pour son agence de Rennes située à Betton dès que possible.
Charger et décharger les moyens de transport."
50,Hôte d'accueil - CDD temps partiel,Groupe Pénélope,"10,57 € de l’heure",L'Agence Pénélope recherche pour son client un(e) hôte(sse) d'accueil en entreprise.
51,Préparateur de commandes drive H/F CDI,Carrefour Market,"À partir de 10,85 € de l’heure","Durant votre formation en magasin vous serez encadré et suivi par un tuteur.
Préparer et conditionner les courses passées par les clients sur le site Carrefour…"
52,AGENT DE SERVICES HOSPITALIERS CDI ÉTUDIANT,Clinique Saint-Yves Création Agence Gosselin,,"Recueil et transmissions des informations en liaison avec le personnel des différents services.
Travail tous les samedis de 9h à 17h avec 1h de pause repas."
53,Recruteur de donateurs AIDES H/F,TRICO,De 11 € à 14 € de l’heure,"Fondée en 2014, Conseil - Collecte - Communication, autrement nommée Trico, est une société de prestation de services dédiée aux associations humanitaires et de…"
54,EMPLOIS ETUDIANT H/F,ALDI,,"ALDI, grand groupe de distribution alimentaire européen, est leader sur son marché avec plus de 1300 points de vente,13 sociétés régionales et 16 entrepôts…"
55,Cours particuliers en AIDE AUX DEVOIRS niveau 6EME - Profess...,Anacours,"14,50 € de l’heure","Diplômé Bac+3 minimum ou étudiant en Grande Ecole avec un niveau Bac+3 en cours minimum.
Une expérience à valoriser sur votre CV."
56,Hôte de caisse polyvalent H/F,INTERMARCHE,De 1 679 € à 1 700 € par mois,Adressez-nous votre candidature dès maintenant.
57,Animateur H/F,RMASA,À partir de 77 € par jour,RMA recherche aujourd'hui plusieurs animateur / animatrice sur le secteur de Rennes pour nos clients.
58,Animateur H/F,LOOPILAND,"À partir de 10,57 € de l’heure","Type d'emploi : Temps partiel, contrat étudiant, CDI.
Centre de profit, dans le secteur du loisir familial de proximité.
Périodes de travail de 8 heures."
59,Femme ou valet de chambre,Mercure Rennes Centre Parlement,"11,07 € de l’heure","Quelle que soit votre expérience, votre motivation sera votre meilleur atout.
Attentif aux détails, au soin porté à l’environnement de travail (matériel,…"
